date,tweet_sentiment,sentiment_weighted,tweets,attention
10/5/2015,-0.08,-0.08,5,2
10/6/2015,-0.016666667,-0.016666667,6,1
10/7/2015,0.066431624,0.066431624,13,1
10/8/2015,0.039772727,0.039772727,16,23
10/9/2015,0.144444444,0.227777778,9,4
10/10/2015,0,0,2,0
10/11/2015,,,0,0
10/12/2015,0.079230769,0.094615385,13,3
10/13/2015,0.013392857,0.013392857,14,1
10/14/2015,0.044805195,0.044805195,11,1
10/15/2015,0.027777778,0.055555556,9,10
10/16/2015,0.06,0.06,11,4
10/17/2015,0.052083333,0.052083333,3,0
10/18/2015,0,0,1,1
10/19/2015,0.079,0.079,15,1
10/20/2015,0.029166667,0.029166667,4,0
10/21/2015,-0.051565657,-0.051565657,11,1
10/22/2015,-0.033333333,-0.033333333,8,0
10/23/2015,0,0,7,6
10/24/2015,0.127840909,0.127840909,2,0
10/25/2015,0.054166667,-0.020833333,4,4
10/26/2015,0.0125,0.0125,12,2
10/27/2015,0.033333333,0.033333333,8,4
10/28/2015,-0.063253968,-0.063253968,5,0
10/29/2015,0.038333333,0.038333333,10,2
10/30/2015,0.101153846,0.101153846,13,1
10/31/2015,0.072222222,0.072222222,3,0
11/1/2015,0.7,2.8,1,3
11/2/2015,0.025833333,0.025833333,10,3
11/3/2015,0.072916667,0.860416667,4,8
11/4/2015,0,0,5,1
11/5/2015,-0.011904762,-0.011904762,3,1
11/6/2015,0.138333333,0.638333333,6,8
11/7/2015,0,0,1,0
11/8/2015,,,0,0
11/9/2015,0.114444444,0.247777778,9,9
11/10/2015,0.014285714,-3.97E-18,7,2
11/11/2015,0.04,0.04,9,0
11/12/2015,0.132,0.132,5,7
11/13/2015,0.071,0.124,10,4
11/14/2015,0,0,2,0
11/15/2015,0,0,1,0
11/16/2015,0.096625,0.136625,10,2
11/17/2015,-0.038888889,-0.038888889,4,3
11/18/2015,0.093571429,0.09952381,7,2
11/19/2015,0,0,3,7
11/20/2015,0,0,5,7
11/21/2015,0,0,2,0
11/22/2015,0,0,1,1
11/23/2015,0.03,0.03,10,1
11/24/2015,0.10537037,0.450740741,10,29
11/25/2015,0.25,0.25,2,0
11/26/2015,0.116666667,0.116666667,6,1
11/27/2015,-8.12E-05,0.352516234,14,21
11/28/2015,0.064393939,0.081060606,6,1
11/29/2015,0.045454545,0.095454545,6,4
11/30/2015,0.082299958,0.083644044,31,12
12/1/2015,0.015227273,-0.001045455,25,10
12/2/2015,0.056818182,0.056818182,8,3
12/3/2015,0.063580247,0.063580247,6,2
12/4/2015,0,0,6,8
12/5/2015,0,0,1,0
12/6/2015,0.068181818,0.272727273,2,3
12/7/2015,0.099074074,0.15462963,18,26
12/8/2015,0.0335,0.0335,10,14
12/9/2015,0.059996742,0.244825676,31,29
12/10/2015,0.039128788,0.089128788,16,17
12/11/2015,0.113972222,0.234527778,30,30
12/12/2015,0.005668934,0.03792517,14,7
12/13/2015,0.002828283,0.114747475,5,9
12/14/2015,0.026615014,0.109617769,22,31
12/15/2015,0.027777778,0.027777778,9,14
12/16/2015,-0.084444444,-0.286666667,9,22
12/17/2015,0.042096365,0.080557904,13,3
12/18/2015,0.022575758,0.022575758,11,1
12/19/2015,0,0,3,0
12/20/2015,,,0,0
12/21/2015,0.071666667,0.088333333,10,1
12/22/2015,0.047142857,0.047142857,7,3
12/23/2015,0,0,3,0
12/24/2015,-0.020138889,-0.020138889,7,1
12/25/2015,,,0,0
12/26/2015,0.027272727,0.027272727,5,0
12/27/2015,0,0,1,0
12/28/2015,0.039772727,0.116477273,8,19
12/29/2015,0.045454545,0.045454545,3,0
12/30/2015,0.029323232,-0.008707071,15,23
12/31/2015,0.032515152,0.032515152,15,41
1/1/2016,0.039191919,0.054343434,9,3
1/2/2016,0.046590909,0.084090909,8,6
1/3/2016,-0.005227273,0.029318182,5,3
1/4/2016,0.031587302,0.757777778,24,71
1/5/2016,0.093376122,0.120382295,24,24
1/6/2016,0.079890572,0.309751684,36,68
1/7/2016,0.038759451,0.12109025,89,80
1/8/2016,0.040152718,0.078936989,45,35
1/9/2016,0.022457912,0.05023569,15,8
1/10/2016,-0.002314815,-0.01712963,12,15
1/11/2016,0.047257448,0.087072262,46,39
1/12/2016,-0.02834127,-0.209353175,35,35
1/13/2016,0.010283873,0.021686695,58,21
1/14/2016,0.014092395,0.029974747,34,14
1/15/2016,0.016722222,0.071388889,25,8
1/16/2016,0.022727273,0.045454545,6,6
1/17/2016,0,0,3,2
1/18/2016,0.019886364,0.00625,22,10
1/19/2016,-0.004166667,0.001449275,23,14
1/20/2016,0.018567251,0.126461988,19,10
1/21/2016,0.02037037,0.022839506,27,8
1/22/2016,-0.066910867,-0.083394383,13,4
1/23/2016,0,0,3,1
1/24/2016,0.16375,0.16375,4,1
1/25/2016,0.057807239,0.157659933,18,10
1/26/2016,0.04992236,0.103726708,23,8
1/27/2016,0.010407648,0.011994949,21,18
1/28/2016,0.05,0.069230769,13,4
1/29/2016,0.019661458,0.037239583,16,19
1/30/2016,0.142857143,0.214285714,7,4
1/31/2016,,,0,0
2/1/2016,-0.018,0.032,25,33
2/2/2016,0.005571016,-0.003159142,21,5
2/3/2016,0.029571429,0.045642857,10,9
2/4/2016,0.051422559,0.118585859,18,49
2/5/2016,0.053596491,0.066754386,19,7
2/6/2016,0.05,0.05,5,0
2/7/2016,0.062946429,0.062946429,8,16
2/8/2016,-0.027769886,-0.037144886,16,10
2/9/2016,0.029166667,-0.025,6,6
2/10/2016,0,0,5,7
2/11/2016,0.033333333,0.033333333,6,0
2/12/2016,0,0,2,0
2/13/2016,0,0,2,0
2/14/2016,-0.016666667,-0.1,3,5
2/15/2016,0.052291667,0.205069444,24,34
2/16/2016,0.027546679,0.029819406,22,8
2/17/2016,0.008107864,0.024098124,22,12
2/18/2016,-0.008333333,-0.008333333,12,11
2/19/2016,0.018148148,0.018148148,15,1
2/20/2016,0,0,3,1
2/21/2016,-0.040740741,-0.190740741,3,2
2/22/2016,0.003219697,0.008775253,18,10
2/23/2016,0.041666667,0.041666667,12,16
2/24/2016,0.068939394,0.287752525,18,39
2/25/2016,0.005333333,0.005333333,15,9
2/26/2016,0.071428571,0.151785714,14,7
2/27/2016,0,0,4,0
2/28/2016,-0.5,-1,2,2
2/29/2016,0.022807018,0.092982456,19,26
3/1/2016,0.021157407,0.033888889,20,13
3/2/2016,0.016818182,0.016818182,11,11
3/3/2016,0.049269006,0.046637427,19,12
3/4/2016,0.076666667,0.093333333,6,5
3/5/2016,0.033333333,0.033333333,3,1
3/6/2016,0.125,0.625,2,4
3/7/2016,-0.058333333,-0.058333333,13,11
3/8/2016,-0.02,-0.02,12,16
